lat,lon,name,admin1,admin2,cc
27.7008,85.3512,Taplejung Pathibhara Guest House & Restaurant,,,
27.685,85.301,Balkhu,,,
27.7163,85.3108,Thamel,,,
27.7028,85.3282,Ghattekulo Marg 29,,,
27.6986,85.3016,Jubilant College,,,
27.7177,85.3055,Swayambhu Marg,,,
27.7081,85.336,Maitidevi,,,
27.6858,85.3095,Tikavidyashram Marga,,,
27.7302,85.3147,Aatma Gyan Prachar Sangh,,,
27.759,85.3297,Tokha Sarswoti,,,
27.7039,85.3138,Kanti Path,,,
27.6996,85.3276,Tanka Prasad Ghumti Sadak,,,
27.7028,85.3483,Jamuna Galli,,,
27.6915,85.3165,Tripura Marg,,,
27.7198,85.3092,Naya Bazaar Marg,,,
27.6442,85.3265,Dhapakhel Rd,,,
27.6859,85.345,27�41'09.2346N 85�20'41.8542E,,,
27.6939,85.321,Madan Bhandari Road,,,
27.6743,85.3166,LOVELY HOME CHILD CARE & KINDERGARTEN,,,
27.669,85.3363,Lukhusi Machagal,,,
27.7226,85.3075,Naya Bazaar Marg,,,
27.7118,85.3324,Bhagawati Marg,,,
27.686,85.3163,Kupondole Rd 162,,,
27.6994,85.3131,Himalayan Beanz Coffee,,,
27.6965,85.3797,Har Har Mahadev Temple,,,
27.6766,85.3147,Jhamsikhel Road,,,
27.6956,85.2879,Ganeshman Singh Path,,,
27.7214,85.3202,Sooriya Wellness and Yoga centre,,,
27.6729,85.339,Westar Residency,,,
27.701,85.293,Tahachal Marg,,,
27.7053,85.3229,Putalisadak,,,
27.6723,85.3144,Lagankhel Satdobato Rd,,,
27.708,85.3181,Little Italy Restaurant,,,
27.6875,85.3322,Swet Binayak Marg,,,
27.6788,85.3164,Laxmi Bank Limited,,,
27.7431,85.34,Bansbari Rd,,,
27.701,85.286,Bafal Marg,,,
27.6967,85.3053,Nepal Credit & Commerce Bank Ltd.,,,
27.6777,85.3162,Pulchowk Rd,,,
27.7415,85.3384,Bansbari Rd,,,
27.7022,85.3326,Megashop,,,
27.7391,85.3533,Jyoti Nagar Bridge,,,
27.6843,85.3016,Ring Road,,,
27.6833,85.3305,Jana Ekta Marg,,,
27.683,85.3436,Sat Marga,,,
27.6992,85.3387,Basuki Marg,,,
27.6992,85.353,Ring Road Kathmandu 44600 Nepal,,,
27.6947,85.3229,Tanka Prasad Ghumti Sadak,,,
27.7051,85.3277,Dilli Bazaar Sadak,,,
27.6967,85.3056,Kalimati Rd,,,
27.7145,85.3285,UPS Kathmandu Contact,,,
27.7433,85.3402,Bansbari Rd,,,
27.7055,85.3228,Putalisadak,,,
27.7308,85.2939,Kharibot Micro Bus Station,,,
27.7314,85.3294,Lamingtan Marg,,,
27.7077,85.3333,Kathmandu 44600 Nepal,,,
27.7252,85.3312,Baluwatar New Dairy,,,
27.7094,85.318,Kulratna Marg,,,
27.6986,85.3549,Airport Park,,,
27.7197,85.3174,Hotel Ambassador,,,
27.708,85.3277,Sunrise Business Park,,,
27.68,85.335,Ganesh Marga,,,
27.7096,85.3332,Gyaneshwor Marg,,,
27.6794,85.3407,Shiva marga,,,
27.683,85.3004,Ring Road,,,
27.7205,85.3341,Banshidhar Marg,,,
27.7317,85.3273,Narayan Gopal Marg,,,
27.7241,85.3037,Khusibu Bishnumati Kinar Right,,,
27.7054,85.3108,Watu Marg,,,
27.6847,85.301,Alpine Veterinary Hospital,,,
27.7056,85.3221,Bag Bazar Sadak,,,
27.6968,85.3085,Royal Bike Warehouse,,,
27.6919,85.3047,Printing Solution,,,
27.7019,85.3508,Laligurans Hotels Pvt. LTD.,,,
27.7097,85.3332,Gyaneshwor Marg,,,
27.7116,85.3676,Highway Futsal,,,
27.6868,85.3072,Sanepa,,,
27.7291,85.3014,Trishuli Hwy,,,
27.7114,85.3034,Purano Dhalko Marg,,,
27.7,85.3217,Putalisadak,,,
27.7295,85.3446,Prolific Higher Secondary School,,,
27.6862,85.3321,Subarna Marg,,,
27.7093,85.317,Jamal Marg,,,
27.7351,85.3178,Kuber Plazza,,,
27.7031,85.3131,Naya Sadak,,,
27.7165,85.3118,Asylum Hair Salon,,,
27.7025,85.2966,Kichandho Marg,,,
27.6841,85.3068,Shanti Marg,,,
27.6569,85.319,Christian Media Nepal,,,
27.6956,85.3444,Bhimsengola Marg,,,
27.7306,85.3179,Shubha Fitness Club & Spa Pvt Ltd,,,
27.7009,85.3118,Khechapukhu Sadak,,,
27.6674,85.3165,Hemant Mo:Mo: Center,,,
27.6785,85.3165,Pulchowk Rd,,,
27.7237,85.3478,Gopi Krishna Marga,,,
27.677,85.3823,New Welcome Guest House,,,
27.6943,85.3202,Madan Bhandari Road,,,
27.7468,85.3056,Manamaiju Aluminium & Metal Workshop,,,
27.7181,85.3465,Tri City Dental Clinic,,,
27.7219,85.3462,Ring Road,,,
27.6973,85.2937,Ganeshman Singh Rd,,,
27.7004,85.3385,Chelsea International Academy,,,
27.673,85.3155,Lagankhel Satdobato Rd,,,
27.7107,85.3217,Lalchan Plaza Rd,,,
27.7391,85.3391,Ring Road,,,
27.747,85.3308,Nature Club,,,
27.7118,85.3407,Jayabageshwori Marg,,,
27.6987,85.3476,Sinamangal Rd,,,
27.6756,85.3186,Pulchowk Gabahal Rd,,,
27.7136,85.3126,Masala Beads 2,,,
27.7121,85.3222,Hattisar Sadak,,,
27.7116,85.3086,YOUR VISION Restaurant & Fast Food Cafe,,,
27.7082,85.3284,Janak Marg,,,
27.7143,85.2938,Swayambhu Marg,,,
27.6891,85.3441,27�41'20.9094N 85�20'38.8752E,,,
27.6899,85.3144,Ganesh Niwas,,,
27.7586,85.3029,Jaranku Motorcycle Workshop,,,
27.6747,85.3076,Gravity Nepal Bicycle Showroom,,,
27.7158,85.3245,Nagpokhari Marg 1,,,
27.6836,85.3124,Maitri Marg,,,
27.6688,85.3252,Thapaa Hiti Marg,,,
27.6516,85.3301,Tranquility Hospital and Research centre Pvt Ltd,,,
27.7198,85.3391,Prajita Cold Store,,,
27.7203,85.3234,Kailash Chaur Marg,,,
27.7037,85.3416,Bank of Kathmandu,,,
27.7128,85.3174,Godhuli Marg,,,
27.6981,85.3118,China Town Rd,,,
27.6882,85.3484,SIDDHARTHA COTTAGE RESTAURANT & BAR,,,
27.6995,85.329,Ghattekulo Marg 29,,,
27.7437,85.3385,Zen Cafe and Restaurant,,,
27.6922,85.3294,Rudramati Oil Store,,,
27.7115,85.3282,CELEBRATION'S BANQUET,,,
27.7459,85.3171,Baniyatar Rd,,,
27.6547,85.3003,Vinayak Colony Rd,,,
27.713,85.3222,Hattisar Sadak 615,,,
27.6706,85.3116,Ekantakuna Rd,,,
27.6953,85.3545,Sinamangal Rd 44600,,,
27.6928,85.2762,Kalankisthan Rd,,,
27.716,85.33,Tangal Marg,,,
27.6635,85.3261,Thulo Chakra,,,
27.6838,85.312,City View Apartment,,,
27.6837,85.3327,Madhya Marg,,,
27.703,85.3111,Khechapukhu Sadak,,,
27.7199,85.326,Neel Sarswoti Marg,,,
27.702,85.3027,Ramghat Marg,,,
27.6982,85.312,JDA Complex,,,
27.7256,85.3134,Ashirwad College,,,
27.7064,85.323,Putalisadak,,,
27.7354,85.3184,Ranibari Ring Rd Track N,,,
27.7073,85.3084,Yitum Bahal,,,
27.7134,85.3198,China Southern Airlines,,,
27.7094,85.3287,Any Time Burger Point,,,
27.6777,85.3057,Naya Bato,,,
27.6995,85.3522,Prasphutan International Academy,,,
27.6978,85.2988,University Path,,,
27.6981,85.2984,Everest Bank,,,
27.6788,85.3208,Patandhoka Road,,,
27.6966,85.339,BanaGanga Marga,,,
27.6864,85.3273,BhriguMarg,,,
27.6956,85.3332,Phulchoki Mai Marg,,,
27.7181,85.3119,Leknath Marg,,,
27.7221,85.3114,Rayamajhi Marga,,,
27.6967,85.2812,Nepal SBI Bank,,,
27.7353,85.3065,Ring Road,,,
27.697,85.3375,Devkota Sadak,,,
27.7041,85.3226,Putalisadak,,,
27.6849,85.3121,Kupondole Heights Road,,,
27.7194,85.3306,Bhatbhateni Apartments II,,,
27.6708,85.3203,Kumaripati - Mahalaximisthan Rd Patan 44700 Nepal,,,
27.7326,85.3341,Gairi Marg,,,
27.696,85.308,Martyr Shukraraj Shastri Tree,,,
27.6991,85.3094,Jyoti Galli,,,
27.7012,85.2944,House No. 685,,,
27.7057,85.3417,House#268,,,
27.6999,85.3455,Sinamangal Rd,,,
27.698,85.2838,Gyanodaya Marg,,,
27.7318,85.2853,Lovely Kids Montessori,,,
27.6763,85.3127,Jhamsikhel Road,,,
27.696,85.3425,Bodhisatwa Kinderworld,,,
27.675,85.3058,The Red Mandolin Lounge n Bar,,,
27.689,85.3264,Babarmahal Boys' Hostel,,,
27.6719,85.3165,Century Commercial Bank,,,
27.6658,85.347,CNS TRADERS,,,
27.6768,85.4353,Kamal Pokhari,,,
27.668,85.3161,Manbhawan Rd,,,
27.7094,85.3267,Wildcraft Nepal (City Center,,,
27.7012,85.3438,Sinamangal Rd,,,
27.6944,85.3347,Lakhe Chaur Marg,,,
27.6559,85.3261,Dhapakhel Rd,,,
27.7216,85.3226,Neel Sarswoti Marg 667,,,
27.7082,85.3314,Gyan Bhairab Temple,,,
27.7096,85.2897,Chauni Hospital Marg,,,
27.6772,85.3111,Jhamsikhel Road,,,
27.6829,85.3334,Laligurans Rastriya H.S. School/College,,,
27.722,85.3474,Himalayan Hut Restaurant,,,
27.7197,85.3312,Bhatbhateni Apartments II,,,
27.729,85.346,Ring Road,,,
27.6944,85.3346,Chelsea International Academy : A Levels,,,
27.6977,85.2914,Swastik Lounge & Banquet Private Limited,,,
27.7177,85.3279,Fiat (Nepal),,,
27.7232,85.3434,Anandanagar,,,
27.7026,85.3224,Putalisadak,,,
27.7011,85.2979,Ti -Yech Family Mart,,,
27.7123,85.3106,Potala Guest House,,,
27.7163,85.3041,Nayabazar,,,
27.7089,85.3145,Durbar Marg,,,
27.6745,85.3597,Araniko Highway,,,
27.7124,85.3452,Ring Road,,,
27.6873,85.3067,Open Learning Exchange Nepal,,,
27.6757,85.3158,Pulchowk Rd,,,
27.6974,85.2937,Ganeshman Singh Rd,,,
27.6441,85.3264,Dhapakhel Rd,,,
27.6687,85.4127,Suryadeep Higher Secondary School,,,
27.7322,85.3254,Krishna Dhara Marg,,,
27.6598,85.3277,Sawane Mul Marg,,,
27.6784,85.3159,Pulchowk Rd,,,
27.6867,85.317,Julie's Cakes & Pastries,,,
27.6917,85.3348,Okharbot Marg,,,
27.6853,85.3073,Sanepa Chowk,,,
27.6905,85.3114,Hyundai Service Centre,,,
27.7026,85.2884,Mates Futsal,,,
27.7424,85.3318,Basundhara Mart,,,
27.6884,85.2986,University Path,,,
27.7305,85.3296,Thirbam Sadak,,,
27.6911,85.3408,Dupka,,,
27.7303,85.3473,Ring Road,,,
27.6965,85.3353,Mero Reading Room,,,
27.6848,85.3031,Sanepa Rd,,,
27.6706,85.3208,Kumaripati,,,
27.7267,85.3319,Bishal Nagar,,,
27.7227,85.3238,Hotel Gangjong,,,
27.687,85.3172,Lumbini Dental Clinic,,,
27.6992,85.3528,Jojiri,,,
27.6725,85.3553,Unnamed Road,,,
27.7589,85.3505,Golfutar Main Rd,,,
27.6828,85.3886,Bhaktapur Road,,,
27.6764,85.3415,Shubhakamana Marg,,,
27.727,85.3261,Pandol Marga,,,
27.7247,85.3361,Bishalnagar Club,,,
27.6864,85.308,27�41'11.1829N 85�18'28.8238E,,,
27.6992,85.3453,Sinamangal Rd,,,
27.6617,85.3034,Adinath Marg,,,
27.694,85.3236,Department of Urban Development and Building Construction,,,
27.6991,85.2864,Crowne Plaza Kathmandu-Soaltee,,,
27.6809,85.3296,Sankhamul Park,,,
27.7003,85.2932,Bagaicha Marg,,,
27.7105,85.3184,Beena Marg,,,
27.6935,85.2819,Kalanki,,,
27.6983,85.3118,JDA Complex,,,
27.7205,85.3216,Hotel Radisson,,,
27.6769,85.3167,27�40'36.8900N 85�19'00.0696E,,,
27.7424,85.3496,Barphedi Marg,,,
27.7126,85.317,Godhuli Marg,,,
27.7096,85.3257,Dhobidhara Marg,,,
27.7137,85.3151,Tridevi Sadak,,,
27.6744,85.3076,Pulchowk - Dhobighat Rd,,,
27.7528,85.3262,Tokha Rd,,,
27.7386,85.3256,Ring Road,,,
27.7307,85.3297,Thirbam Sadak,,,
27.6901,85.3086,Kuber Plazza,,,
27.6974,85.2956,Ganeshman Singh Rd,,,
27.703,85.3345,Maitidevi Complex,,,
27.6874,85.3379,Mega Bank,,,
27.7006,85.3529,Ring Road,,,
27.7067,85.2993,Dr. Nabin Khatiwada,,,
27.7031,85.3578,Vishworoop Temple,,,
27.7243,85.3404,Baraha Marg,,,
27.6821,85.3372,Sharada Marg,,,
27.7014,85.3238,New Plaza Sadak,,,
27.7209,85.3295,Darshantech Private Limited,,,
27.6884,85.3084,27�41'18.3476N 85�18'30.2540E,,,
27.7234,85.3212,Bungol Marg,,,
27.6934,85.3213,Prasuti Griha Marg,,,
27.6536,85.305,Ekantakuna-Tikabhairab Rd,,,
27.6853,85.307,Didi-Baihini Marg,,,
27.7118,85.3077,Yapikhya Marg,,,
27.6473,85.3253,Dhapakhel Rd,,,
27.774,85.361,Golfutar Main Rd,,,
27.7135,85.3199,Le Trio Restaurant & Bar,,,
27.7136,85.366,Unnamed Road,,,
27.6788,85.3238,Chakupat,,,
27.7368,85.3272,Shreekanti Marg,,,
27.6964,85.3281,Tanka Prasad Ghumti Sadak,,,
27.7198,85.3303,Bhat Bhateni Marg,,,
27.7202,85.3228,Nava Marg,,,
27.6744,85.3257,Traditional Homes - Swotha,,,
27.6557,85.3441,Ganesh Temple,,,
27.6775,85.3169,Pulchowk Gabahal Rd,,,
27.7119,85.3643,Panchakanya Marga,,,
27.7192,85.3448,Gangahiti Marg,,,
27.7051,85.3376,Asmita Store,,,
27.748,85.3481,Aaja Ground Road,,,
27.7282,85.3488,Unnamed Road,,,
27.7148,85.3249,NB Insurance Co. Ltd,,,
27.7129,85.3282,Epitome Solutions Pvt Ltd,,,
27.6702,85.3353,Stupa Handicraft,,,
27.6853,85.3187,Jwagal,,,
27.7468,85.3306,Tokha,,,
27.7181,85.3118,Leknath Marg,,,
27.7013,85.3405,Sinamangal Rd,,,
27.7266,85.3219,Rani Devi Marg 3,,,
27.7092,85.3218,Kathmandu Plaza,,,
27.71,85.2888,Chauni Hospital Marg,,,
27.7168,85.3467,Lumbini Tandoori Restaurant,,,
27.7143,85.3391,Panna Hiti Marg,,,
27.7136,85.3427,Kutubahal Kathmandu 44600 Nepal,,,
27.6868,85.3057,Didi-Baihini Marg,,,
27.7318,85.3146,Samakhusi Marg,,,
27.6532,85.3049,Ekantakuna-Tikabhairab Rd,,,
27.6646,85.3242,Lagankhel Satdobato Rd,,,
27.718,85.327,Classic Mo:Mo,,,
27.7354,85.3423,Jana Marg,,,
27.675,85.3148,Pulchowk Rd,,,
27.6879,85.3101,Kupondole Ln,,,
27.7237,85.337,Banshidhar Marg,,,
27.7252,85.3583,Saraswatinagar Rd,,,
27.7099,85.3179,Hashtag Lounge,,,
27.6857,85.3351,The Burger House and Crunchy Fried Chicken,,,
27.6625,85.3159,Damodar Marg,,,
27.7378,85.3498,Mahankal,,,
27.7082,85.3068,Tuchen Galli,,,
27.7193,85.3341,27�43'09.6359N 85�20'02.6329E,,,
27.7103,85.3226,Krishna Pauroti Bhandar Pvt. Ltd.,,,
27.7207,85.3097,MicroBanker Nepal Pvt. Ltd.,,,
27.6775,85.3073,The Residency - Bajra & Shangrila,,,
27.7057,85.3141,Aspatal Marg,,,
27.7031,85.313,New Rd,,,
27.7212,85.3095,Nirmal Lama Marg,,,
27.7117,85.3219,Hattisar Sadak 429 Kathmandu 44600 Nepal,,,
27.7009,85.2963,Crowne Plaza Kathmandu-Soaltee,,,
27.7355,85.3391,Chundevi Marg,,,
27.6991,85.338,Devkota Sadak,,,
27.7199,85.326,Neel Sarswoti Marg 667,,,
27.6957,85.3383,Chelsea International Academy,,,
27.7465,85.3751,Fulari Gumba,,,
27.6911,85.3345,Bakery Caf�,,,
27.7169,85.331,Gahana Pokhari Marg 5,,,
27.716,85.3622,Dibya Marg,,,
27.718,85.3225,LIQUOR WORLD,,,
27.711,85.3302,Bhairab Marg,,,
27.7134,85.345,Mitra Park,,,
27.6931,85.2982,Civil Bank Limited,,,
27.6886,85.3144,Luitel Rd,,,
27.6985,85.3424,Ghumti Kumari Marg,,,
27.7036,85.3092,New Rd,,,
27.7089,85.3145,Naach Ghar Complex,,,
27.6633,85.3161,Ring Road,,,
27.7177,85.3481,Boudhanath Sadak,,,
27.7039,85.3267,Kalika Marg,,,
27.7182,85.3468,Ring Road,,,
27.6566,85.3197,Satdobato-Tikabhairab Rd 15,,,
27.6796,85.3162,Pulchowk Rd,,,
27.7033,85.3091,Dharma Path,,,
27.7111,85.3086,Kathmandu 44600 Nepal,,,
27.6999,85.3271,APCA HOUSE,,,
27.7026,85.308,Sticks hookah bar,,,
27.6997,85.3354,Pipal Bot Marg,,,
27.6908,85.3391,Ekta Marga 3728,,,
27.6783,85.3212,Pulchowk Campus,,,
27.6857,85.3065,Kalika Marg,,,
27.7106,85.3098,Nityanath Marg,,,
27.6949,85.3083,Teku Modifications N Bikerz Point,,,
27.6726,85.3347,Balkumari Road,,,
27.6939,85.3193,Thapathali Road,,,
27.68,85.3165,Pulchowk Rd,,,
27.7015,85.3484,Sumitra Villa,,,
27.693,85.3139,United World Trade Center,,,
27.6935,85.3147,Tripura Marg 320,,,
27.6886,85.3346,Minbhawan,,,
27.7098,85.3093,Shree Gha Bihar,,,
27.6916,85.3165,Tripura Marg,,,
27.7443,85.3412,Namuna College of Fashion Technology,,,
27.7075,85.3018,Jagat Sundar Bwonekuthi Secondary School,,,
27.7463,85.3264,Tokha Rd,,,
27.7134,85.311,Sum Caf�,,,
27.6874,85.3319,'We' for Change,,,
27.7105,85.3274,Thirbum Marg,,,
27.706,85.318,Bag Bazar Sadak,,,
27.7081,85.3362,Pashupati Rd,,,
27.6789,85.2972,TU Gate,,,
27.6449,85.3365,Mount View Residency,,,
27.705,85.3181,BL Printing Press,,,
27.7104,85.3386,Paneku Marg,,,
27.7194,85.3147,Hanuman Chowk Marg,,,
27.7023,85.3078,Palpasa Hookah Lounge and Bar,,,
27.7229,85.3587,Tashi Delek Cafe,,,
27.677,85.3472,Ring Road,,,
27.6785,85.3132,Jhamsikhel Marg 210,,,
27.7375,85.3525,Ekatabasti Sahakari Sanstha,,,
27.7012,85.3039,Tabwa Marg,,,
27.7219,85.3208,Lazimpat Rd,,,
27.7307,85.3267,Do Cha Marg,,,
27.7475,85.3176,MAHENDRA RESIDENCE (Tulasi Niwas ),,,
27.6858,85.3068,Momotarou,,,
27.7364,85.3438,Annapurna Marga,,,
27.6933,85.3401,CIST College,,,
27.6587,85.3003,Highland Secondary Boarding School,,,
27.7061,85.3094,Indra Chowk,,,
27.6896,85.3202,Maternity Hospital Road,,,
27.7197,85.3375,Handigaun Marg,,,
27.6866,85.3431,Madan Bhandari Road,,,
27.7161,85.3124,Bhagawan Bahal Marg,,,
27.7182,85.3122,Leknath Marg,,,
27.6839,85.3124,Coffee Beans,,,
27.7089,85.3304,Pashupati Rd 866,,,
27.6756,85.3147,Pulchowk - Dhobighat Rd,,,
27.6681,85.3038,Hajur ko cheya pasal,,,
27.7139,85.3141,Tridevi Sadak,,,
27.6928,85.3386,Panchakumari Marg,,,
27.6994,85.2954,Tahachal Bagaicha Marg,,,
27.6914,85.3105,Bagamati Tripureswor Bridge,,,
27.7165,85.3038,Samyojan Marga,,,
27.6887,85.3325,Madan Bhandari Road,,,
27.6944,85.3373,Devkota Sadak,,,
27.6877,85.3165,Kupondole Rd,,,
27.7185,85.3177,Ananda Bhawan,,,
27.7022,85.3221,Putalisadak,,,
27.6734,85.3742,27�40'24.2022N 85�22'26.9872E,,,
27.6854,85.3348,Shankhamul Marga,,,
27.7249,85.2975,Banasthali Police Bit,,,
27.6662,85.3138,Damodar Marg,,,
27.6968,85.367,Manash Shrestha,,,
27.723,85.3215,JuJu Wears,,,
27.7052,85.3332,Sasto Kirana Pasal,,,
27.6734,85.3081,Pulchowk - Dhobighat Rd,,,
27.7191,85.3305,Bhatbhateni Apartments,,,
27.725,85.3226,Lazimpat Rd 1079,,,
27.7292,85.3831,Unnamed Road,,,
27.6789,85.3538,Unnamed Road,,,
27.6935,85.3189,Thapathali Road,,,
27.7214,85.3379,Handigaun Marg,,,
27.6853,85.3204,Jwagal 10,,,
27.7544,85.3276,Tokha Rd,,,
27.7013,85.3501,Jamuna Galli,,,
27.6731,85.313,Jawalakhel Sadak,,,
27.7412,85.3454,Himali Gau Rd 5,,,
27.6936,85.3217,Madan Bhandari Road,,,
27.7148,85.3439,Chandra Vinayak Marg,,,
27.67,85.3219,Rolwaling College,,,
27.7056,85.3268,Charkhal Rd,,,
27.7165,85.3124,Bhagawan Bahal Marg,,,
27.6851,85.3253,Park Ln,,,
27.7389,85.3092,Deepjyoti Ground Rd,,,
27.7313,85.3368,Indramaya Marg,,,
27.6882,85.3099,Kupondole,,,
27.6952,85.3442,Sadashiv Galli,,,
27.6577,85.3474,Lalitpur Balkumari Supliers,,,
27.6759,85.3144,Labim Mall,,,
27.7293,85.3265,Genesis Caf�,,,
27.7197,85.2867,Thulo Bharyang Bus Stop,,,
27.7013,85.3219,Padmodaya Secondary School,,,
27.6549,85.3311,Satdobato,,,
27.717,85.3088,Paknajol Marg,,,
27.709,85.3296,Shivani Kunja,,,
27.6853,85.3071,Didi-Baihini Marg,,,
27.7158,85.2938,Siddhicharan Marg,,,
27.6868,85.3174,Kupondole Rd 162,,,
27.7213,85.3178,Kapurdhara Marg,,,
27.7129,85.3177,Durbar Marg,,,
27.7166,85.2829,Ring Road,,,
27.6935,85.3259,Department of Food Technology And Quality Control,,,
27.6994,85.3124,Education Park,,,
27.6865,85.3083,Purano Bato,,,
